,name,nationality,sex,date_of_birth,height,weight,sport,gold,silver,bronze,total,year,age
0,A Jesus Garcia,ESP,male,1969-10-17,1.72,64.0,athletics,0,0,0,0,1969,47
1,A Lam Shin,KOR,female,1986-09-23,1.68,56.0,fencing,0,0,0,0,1986,30
2,Aaron Brown,CAN,male,1992-05-27,1.98,79.0,athletics,0,0,1,1,1992,24
3,Aaron Cook,MDA,male,1991-01-02,1.83,80.0,taekwondo,0,0,0,0,1991,25
4,Aaron Gate,NZL,male,1990-11-26,1.81,71.0,cycling,0,0,0,0,1990,26
5,Aaron Royle,AUS,male,1990-01-26,1.8,67.0,triathlon,0,0,0,0,1990,26
6,Aaron Russell,USA,male,1993-06-04,2.05,98.0,volleyball,0,0,1,1,1993,23
7,Aaron Younger,AUS,male,1991-09-25,1.93,100.0,aquatics,0,0,0,0,1991,25
8,Aauri Lorena Bokesa,ESP,female,1988-12-14,1.8,62.0,athletics,0,0,0,0,1988,28
9,Ababel Yeshaneh,ETH,female,1991-07-22,1.65,54.0,athletics,0,0,0,0,1991,25
10,Abadi Hadis,ETH,male,1997-11-06,1.7,63.0,athletics,0,0,0,0,1997,19
11,Abbas Abubakar Abbas,BRN,male,1996-05-17,1.75,66.0,athletics,0,0,0,0,1996,20
12,Abbas Qali,IOA,male,1992-10-11,1.6800000000000002,57.5,aquatics,0,0,0,0,1992,24
13,Abbey D'Agostino,USA,female,1992-05-25,1.61,49.0,athletics,0,0,0,0,1992,24
14,Abbey Weitzeil,USA,female,1996-12-03,1.78,68.0,aquatics,1,1,0,2,1996,20
15,Abbie Brown,GBR,female,1996-04-10,1.76,71.0,rugby sevens,0,0,0,0,1996,20
16,Abbos Rakhmonov,UZB,male,1998-07-07,1.61,57.0,wrestling,0,0,0,0,1998,18
17,Abbubaker Mobara,RSA,male,1994-02-18,1.75,64.0,football,0,0,0,0,1994,22
18,Abby Erceg,NZL,female,1989-11-20,1.75,68.0,football,0,0,0,0,1989,27
19,Abd Elhalim Mohamed Abou,EGY,male,1989-06-03,2.1,88.0,volleyball,0,0,0,0,1989,27
20,Abdalaati Iguider,MAR,male,1987-03-25,1.73,57.0,athletics,0,0,0,0,1987,29
21,Abdalelah Haroun,QAT,male,1997-01-01,1.85,80.0,athletics,0,0,0,0,1997,19
22,Abdalla Targan,SUD,male,1996-09-28,1.77,65.0,athletics,0,0,0,0,1996,20
23,Abdel Aziz Mehelba,EGY,male,1988-12-10,1.76,80.0,shooting,0,0,0,0,1988,28
24,Abdelati El Guesse,MAR,male,1993-02-27,1.9,72.0,athletics,0,0,0,0,1993,23
25,Abdelaziz Merzougui,ESP,male,1991-08-30,1.75,67.0,athletics,0,0,0,0,1991,25
26,Abdelaziz Mohamed Ahmed,SUD,male,1994-10-12,1.81,72.0,aquatics,0,0,0,0,1994,22
27,Abdelghani Demmou,ALG,male,1989-01-29,1.85,75.0,football,0,0,0,0,1989,27
28,Abdelhafid Benchabla,ALG,male,1986-09-26,1.86,72.5,boxing,0,0,0,0,1986,30
29,Abdelhakim Amokrane,ALG,male,1994-05-10,1.86,70.0,football,0,0,0,0,1994,22
30,Abdelkader Chadi,ALG,male,1986-12-12,1.78,74.5,boxing,0,0,0,0,1986,30
