province	id	value	area	pop	pop.area	lat	long
An Giang	1	29.7578699	3536.7	2155.3	609		
Bạc Liêu	2	57.37785747	2468.7	876.8	355	9.29414	105.72776
Bắc Giang	3	53.08434799	3849.7	1593.2	414	21.27307	106.1946
Bắc Kạn	4	23.98934282	4859.4	303.1	62	22.14701	105.83481
Bắc Ninh	5	24.02656076	822.7	1114	1354	21.18608	106.07631
Bến Tre	6	46.19371865	2359.5	1262	535	10.24147	106.37585
Bà Rịa - Vũng Tàu	7	54.70321915	1989.5	1052.8	529		
Bình Định	8	39.95672144	6050.6	1510.4	250		
Bình Dương	9	34.43496502	2694.4	1802.5	669		
Bình Phước	10	52.76621987	6871.5	921.8	134		
Bình Thuận	11	56.79271335	7812.8	1201.2	154		
Cần Thơ	12	53.34998464	1409	1222.4	868	10.03711	105.78825
Cà Mau	13	44.67581002	5294.9	1219.9	230	9.17682	105.15242
Cao Bằng	14	36.19372664	6707.9	517.9	77		
Đắk Lắk	15	48.04125149	13125.4	1827.8	139		
Đắk Nông	16	24.07886264	6515.6	553.2	85		
Đồng Nai	17	38.69219459	5907.2	2768.7	469	10.94469	106.82432
Đồng Tháp	18	43.7207587	3378.8	1680.3	497		
Đà Nẵng	19	37.74896571	1285.4	992.8	772		
Điện Biên	20	48.73498643	9562.9	527.3	55		
Gia Lai	21	43.87820252	15536.9	1359.9	88		
Hải Dương	22	52.07246885	1656	1747.5	1055		
Hải Phòng	23	47.68167464	1527.4	1925.2	1260		
Hậu GIang	24	55.89478911	1602.4	773.8	483		
Hồ Chí Minh	25	47.89669096	4608.7	808.2	175	10.82302	106.62965
Hà Giang	26	47.43104646	7914.9	771.2	97		
Hà Nội	27	45.26045835	3324.3	6936.9	2087	21.0245	105.84117
Hà Nam	28	55.16280346	860.5	794.3	923		
Hà Tĩnh	29	39.61310879	5997.3	1242.7	207		
Hoà Bình	30	46.91888753	926	1151.6	1244		
Hưng Yên	31	55.33139637	5217.7	1192.5	229		
Khánh Hoà	32	27.79943791	6348.5	1738.8	274		
Kiên Giang	33	36.11591884	9689.6	473.3	49		
Kon Tum	34	33.27880087	9068.8	404.5	45		
Lạng Sơn	35	48.58462184	6383.9	656.9	103		
Lai Châu	36	26.26353627	9773.6	1246.2	128		
Lâm Đồng	37	39.63684771	8320.8	751.2	90		
Lào Cai	38	33.96379292	4491.9	1469.9	327		
Long An	39	39.25596145	1652.8	1839.9	1113		
Nam Định	40	24.16488537	16492.7	2978.7	181		
Nghệ An	41	42.50803723	1378.1	927	673		
Ninh Bình	42	51.78880735	3358.3	587.4	175		
Ninh Thuận	43	54.53557105	3533.3	1351	382		
Phú Thọ	44	52.17530072	5060.5	883.2	175		
Phú Yên	45	39.15818579	8065.3	863.4	107		
Quảng Bình	46	35.18119238	10438.4	1461	140		
Quảng Nam	47	54.40853789	5152	1236.3	240		
Quảng Ngãi	48	44.5615501	6102.4	1185.2	194		
Quảng Ninh	49	57.57717972	4739.8	612.5	129		
Quảng Trị	50	38.16322073	3311.6	1308.3	395		
Sóc Trăng	51	46.13858349	14174.4	1149.3	81	9.59995	105.97193
Sơn La	52	29.87039099	4032.6	1095.6	272		
Tây Ninh	53	43.88200652	1570.5	1788.4	1139		
Thừa Thiên Huế	54	40.17839513	2508.6	1703.4	679		
Thái Bình	55	50.95778566	3536.4	1156	327		
Thái Nguyên	56	33.31336129	11130.5	3476.6	312		
Thanh Hóa	57	53.74280483	5033.2	1123.8	223		
Tiền Giang	58	27.24845571	2095.6	7818.2	3731		
Trà Vinh	59	49.43303175	2341.2	1027.5	439		
Tuyên Quang	60	20.01351229	5867.3	746.7	127		
Vĩnh Long	61	22.74660453	1520.2	1040.5	684		
Vĩnh Phúc	62	29.9827045	1238.6	1029.4	831		
Yên Bái	63	55.50590438	6886.3	771.6	112		
