,Country,Continent,Region,DevName,Total
0,Afghanistan,Asia,Southern Asia,Developing regions,58639.0
1,Albania,Europe,Southern Europe,Developed regions,15699.0
2,Algeria,Africa,Northern Africa,Developing regions,69439.0
3,American Samoa,Oceania,Polynesia,Developing regions,6.0
4,Andorra,Europe,Southern Europe,Developed regions,15.0
5,Angola,Africa,Middle Africa,Developing regions,2113.0
6,Antigua and Barbuda,Latin America and the Caribbean,Caribbean,Developing regions,981.0
7,Argentina,Latin America and the Caribbean,South America,Developing regions,19596.0
8,Armenia,Asia,Western Asia,Developing regions,3310.0
9,Australia,Oceania,Australia and New Zealand,Developed regions,23829.0
10,Austria,Europe,Western Europe,Developed regions,4985.0
11,Azerbaijan,Asia,Western Asia,Developing regions,2649.0
12,Bahamas,Latin America and the Caribbean,Caribbean,Developing regions,808.0
13,Bahrain,Asia,Western Asia,Developing regions,475.0
14,Bangladesh,Asia,Southern Asia,Developing regions,65568.0
15,Barbados,Latin America and the Caribbean,Caribbean,Developing regions,6923.0
16,Belarus,Europe,Eastern Europe,Developed regions,7975.0
17,Belgium,Europe,Western Europe,Developed regions,10762.0
18,Belize,Latin America and the Caribbean,Central America,Developing regions,1083.0
19,Benin,Africa,Western Africa,Developing regions,2852.0
20,Bhutan,Asia,Southern Asia,Developing regions,5876.0
21,Bolivia (Plurinational State of),Latin America and the Caribbean,South America,Developing regions,3205.0
22,Bosnia and Herzegovina,Europe,Southern Europe,Developed regions,21855.0
23,Botswana,Africa,Southern Africa,Developing regions,396.0
24,Brazil,Latin America and the Caribbean,South America,Developing regions,29659.0
25,Brunei Darussalam,Asia,South-Eastern Asia,Developing regions,600.0
26,Bulgaria,Europe,Eastern Europe,Developed regions,23310.0
27,Burkina Faso,Africa,Western Africa,Developing regions,2043.0
28,Burundi,Africa,Eastern Africa,Developing regions,8110.0
29,Cabo Verde,Africa,Western Africa,Developing regions,201.0
30,Cambodia,Asia,South-Eastern Asia,Developing regions,6538.0
31,Cameroon,Africa,Middle Africa,Developing regions,16021.0
32,Canada,Northern America,Northern America,Developed regions,20.0
33,Central African Republic,Africa,Middle Africa,Developing regions,550.0
34,Chad,Africa,Middle Africa,Developing regions,1653.0
35,Chile,Latin America and the Caribbean,South America,Developing regions,21359.0
36,China,Asia,Eastern Asia,Developing regions,659962.0
37,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Developing regions,9327.0
38,"China, Macao Special Administrative Region",Asia,Eastern Asia,Developing regions,284.0
39,Colombia,Latin America and the Caribbean,South America,Developing regions,72088.0
40,Comoros,Africa,Eastern Africa,Developing regions,194.0
41,Congo,Africa,Middle Africa,Developing regions,1686.0
42,Costa Rica,Latin America and the Caribbean,Central America,Developing regions,4489.0
